,Dollar,Ibovespa,Selic
2007-11-13,1.7664999961853027,62927.0,11.25
2007-11-14,1.7310999631881714,64631.0,11.25
2007-11-15,1.7417999505996704,,11.25
2007-11-16,1.7415000200271606,64609.0,11.25
2007-11-19,1.7561999559402466,62336.0,11.25
2007-11-20,1.7569999694824219,,11.25
2007-11-21,1.781599998474121,60582.0,11.25
2007-11-22,1.7684999704360962,60653.0,11.25
2007-11-23,1.7975000143051147,60971.0,11.25
2007-11-26,,59069.0,11.25
2007-11-27,1.8353999853134155,59432.0,11.25
2007-11-28,1.7920000553131104,61715.0,11.25
2007-11-29,1.7695000171661377,62156.0,11.25
2007-11-30,1.7759000062942505,63006.0,11.25
2007-12-03,1.780500054359436,63200.0,11.25
2007-12-04,1.815999984741211,63482.0,11.25
2007-12-05,1.7879999876022339,64928.0,11.25
2007-12-06,1.784500002861023,65791.0,11.25
2007-12-07,1.7596999406814575,65639.0,11.25
2007-12-10,1.7584999799728394,65446.0,11.25
2007-12-11,1.756500005722046,64512.0,11.25
2007-12-12,1.7556999921798706,64742.0,11.25
2007-12-13,1.7732000350952148,62861.0,11.25
2007-12-14,1.7940000295639038,62445.0,11.25
2007-12-17,1.8134000301361084,59828.0,11.25
2007-12-18,,61096.0,11.25
2007-12-19,1.7985999584197998,61722.0,11.25
2007-12-20,1.7980999946594238,61716.0,11.25
2007-12-21,1.7892999649047852,63098.0,11.25
2007-12-24,1.7892999649047852,,11.25
2007-12-25,1.7892999649047852,,11.25
2007-12-26,,64288.0,11.25
2007-12-27,1.7634999752044678,63774.0,11.25
2007-12-28,1.767300009727478,63886.0,11.25
2007-12-31,1.767300009727478,,11.25
2008-01-01,1.767300009727478,,11.25
2008-01-02,1.7645000219345093,62815.0,11.25
2008-01-03,1.7480000257492065,62892.0,11.25
2008-01-04,1.757200002670288,61037.0,11.25
2008-01-07,1.7640000581741333,60772.0,11.25
2008-01-08,1.7519999742507935,62081.0,11.25
2008-01-09,1.7687000036239624,62674.0,11.25
2008-01-10,1.760200023651123,63515.0,11.25
2008-01-11,1.7455999851226807,61942.0,11.25
2008-01-14,1.7274999618530273,62188.0,11.25
2008-01-15,1.7467000484466553,59907.0,11.25
2008-01-16,1.7674000263214111,58777.0,11.25
2008-01-17,1.7725000381469727,57037.0,11.25
2008-01-18,1.791700005531311,57506.0,11.25
2008-01-21,1.826200008392334,53709.0,11.25
2008-01-22,1.7970999479293823,56097.0,11.25
2008-01-23,1.805799961090088,54235.0,11.25
2008-01-24,1.781499981880188,57463.0,11.25
2008-01-25,1.7803000211715698,,11.25
2008-01-28,1.778499960899353,58594.0,11.25
2008-01-29,1.7700999975204468,59530.0,11.25
2008-01-30,1.774899959564209,60289.0,11.25
2008-01-31,1.752500057220459,59490.0,11.25
2008-02-01,1.752500057220459,61080.0,11.25
2008-02-04,1.7424999475479126,,11.25
2008-02-05,1.7575000524520874,,11.25
2008-02-06,1.75,58969.0,11.25
2008-02-07,1.7584999799728394,58965.0,11.25
2008-02-08,1.7594000101089478,59076.0,11.25
2008-02-11,1.7589000463485718,60643.0,11.25
2008-02-12,1.7404999732971191,61805.0,11.25
2008-02-13,1.7438000440597534,62591.0,11.25
2008-02-14,1.7445000410079956,61819.0,11.25
2008-02-15,1.747499942779541,61272.0,11.25
2008-02-18,1.7324999570846558,62801.0,11.25
2008-02-19,1.7293000221252441,62297.0,11.25
2008-02-20,1.7309999465942383,63747.0,11.25
2008-02-21,1.705199956893921,63792.0,11.25
2008-02-22,1.7050000429153442,64609.0,11.25
2008-02-25,1.7005000114440918,65001.0,11.25
2008-02-26,1.684499979019165,65183.0,11.25
2008-02-27,1.6634999513626099,65495.0,11.25
2008-02-28,1.676300048828125,65555.0,11.25
2008-02-29,1.6785000562667847,63489.0,11.25
2008-03-03,1.6740000247955322,64490.0,11.25
2008-03-04,1.676800012588501,63656.0,11.25
2008-03-05,1.6670000553131104,64629.0,11.25
2008-03-06,1.6628999710083008,62975.0,11.25
2008-03-07,1.6875,61868.0,11.25
2008-03-10,1.6984000205993652,59999.0,11.25
2008-03-11,1.701300024986267,62368.0,11.25
2008-03-12,1.6821999549865723,62177.0,11.25
2008-03-13,1.7005000114440918,62280.0,11.25
2008-03-14,1.7073999643325806,61991.0,11.25
2008-03-17,1.7228000164031982,60012.0,11.25
2008-03-18,1.695199966430664,61933.0,11.25
2008-03-19,1.6995999813079834,58827.0,11.25
2008-03-20,1.7379000186920166,58987.0,11.25
2008-03-21,1.7379000186920166,,11.25
2008-03-24,1.7379000186920166,59813.0,11.25
2008-03-25,1.7359999418258667,61234.0,11.25
2008-03-26,1.732200026512146,61415.0,11.25
2008-03-27,1.7267999649047852,60762.0,11.25
2008-03-28,1.7376999855041504,60452.0,11.25
2008-03-31,1.7395000457763672,60968.0,11.25
2008-04-01,,62775.0,11.25
2008-04-02,1.7228000164031982,63364.0,11.25
2008-04-03,1.7193000316619873,64175.0,11.25
2008-04-04,1.7044999599456787,64446.0,11.25
2008-04-07,1.6948000192642212,64176.0,11.25
2008-04-08,1.6944999694824219,64540.0,11.25
2008-04-09,1.687600016593933,63477.0,11.25
2008-04-10,1.6754000186920166,63527.0,11.25
2008-04-11,1.6813000440597534,62585.0,11.25
2008-04-14,1.6799999475479126,62153.0,11.25
2008-04-15,1.6815999746322632,62618.0,11.25
2008-04-16,1.6679999828338623,64152.0,11.25
2008-04-17,1.6592999696731567,64552.0,11.75
2008-04-18,1.6605000495910645,64923.0,11.75
2008-04-21,1.6660000085830688,,11.75
2008-04-22,1.652500033378601,65413.0,11.75
2008-04-23,1.6568000316619873,64948.0,11.75
2008-04-24,1.6675000190734863,64576.0,11.75
2008-04-25,1.666599988937378,65187.0,11.75
2008-04-28,1.674299955368042,65678.0,11.75
2008-04-29,1.7029999494552612,63826.0,11.75
2008-04-30,1.6582000255584717,67868.0,11.75
2008-05-02,1.6425000429153442,69366.0,11.75
2008-05-05,1.6574000120162964,70175.0,11.75
2008-05-06,1.658400058746338,70195.0,11.75
2008-05-07,1.6692999601364136,69018.0,11.75
2008-05-08,1.676300048828125,69722.0,11.75
2008-05-09,1.690500020980835,69646.0,11.75
2008-05-12,1.6855000257492065,70416.0,11.75
2008-05-13,1.6545000076293945,70503.0,11.75
2008-05-14,1.6556999683380127,70027.0,11.75
2008-05-15,1.6514999866485596,71492.0,11.75
2008-05-16,1.6395000219345093,72767.0,11.75
2008-05-19,1.6407999992370605,73439.0,11.75
2008-05-20,1.6509000062942505,73517.0,11.75
2008-05-21,1.6460000276565552,72295.0,11.75
2008-05-22,1.6533000469207764,,11.75
2008-05-23,1.649999976158142,71452.0,11.75
2008-05-26,1.659600019454956,71629.0,11.75
2008-05-27,1.6675000190734863,70992.0,11.75
2008-05-28,1.6669000387191772,73153.0,11.75
2008-05-29,1.6431000232696533,71798.0,11.75
2008-05-30,1.622499942779541,72593.0,11.75
2008-06-02,1.628999948501587,71897.0,11.75
2008-06-03,1.6196999549865723,70012.0,11.75
2008-06-04,1.6291999816894531,68673.0,11.75
2008-06-05,1.6295000314712524,71235.0,12.25
2008-06-06,1.6260000467300415,69786.0,12.25
2008-06-09,1.6166000366210938,69281.0,12.25
2008-06-10,1.6375999450683594,67775.0,12.25
2008-06-11,1.6399999856948853,66795.0,12.25
2008-06-12,1.632200002670288,67322.0,12.25
2008-06-13,1.6294000148773193,67204.0,12.25
2008-06-16,1.6224000453948975,67285.0,12.25
2008-06-17,1.6104999780654907,68438.0,12.25
2008-06-18,1.6069999933242798,67090.0,12.25
2008-06-19,1.5989999771118164,66590.0,12.25
2008-06-20,1.5992000102996826,64614.0,12.25
2008-06-23,1.6121000051498413,64640.0,12.25
2008-06-24,1.6004999876022339,64168.0,12.25
2008-06-25,1.596500039100647,65853.0,12.25
2008-06-26,1.590999960899353,63947.0,12.25
2008-06-27,1.6009999513626099,64321.0,12.25
2008-06-30,1.590999960899353,65018.0,12.25
2008-07-01,,63396.0,12.25
2008-07-02,1.5963000059127808,61106.0,12.25
2008-07-03,1.5920000076293945,59273.0,12.25
2008-07-04,1.6019999980926514,59365.0,12.25
2008-07-07,1.5952999591827393,59088.0,12.25
2008-07-08,1.6080000400543213,59536.0,12.25
2008-07-09,1.6069999933242798,,12.25
2008-07-10,1.6064000129699707,60253.0,12.25
2008-07-11,1.6015000343322754,60148.0,12.25
2008-07-14,1.5878000259399414,60721.0,12.25
2008-07-15,1.5894999504089355,61015.0,12.25
2008-07-16,1.593400001525879,62056.0,12.25
2008-07-17,1.5859999656677246,60109.0,12.25
2008-07-18,1.5889999866485596,59988.0,12.25
2008-07-21,1.579200029373169,60772.0,12.25
2008-07-22,1.5815999507904053,59647.0,12.25
2008-07-23,1.5799000263214111,59421.0,12.25
2008-07-24,1.5779000520706177,57434.0,13.0
2008-07-25,1.569200038909912,57199.0,13.0
2008-07-28,1.5694999694824219,56869.0,13.0
2008-07-29,1.5707000494003296,58043.0,13.0
2008-07-30,1.55649995803833,59998.0,13.0
2008-07-31,1.5618000030517578,59505.0,13.0
2008-08-01,,57630.0,13.0
2008-08-04,,55609.0,13.0
2008-08-05,,56471.0,13.0
2008-08-06,,57542.0,13.0
2008-08-07,,57018.0,13.0
2008-08-08,,56584.0,13.0
2008-08-11,,54720.0,13.0
2008-08-12,,54503.0,13.0
2008-08-13,,54573.0,13.0
2008-08-14,,55138.0,13.0
2008-08-15,,54244.0,13.0
2008-08-18,,53327.0,13.0
2008-08-19,,53639.0,13.0
2008-08-20,,55377.0,13.0
2008-08-21,,55935.0,13.0
2008-08-22,,55850.0,13.0
2008-08-25,,54477.0,13.0
2008-08-26,1.6371999979019165,54359.0,13.0
2008-08-27,1.6193000078201294,55519.0,13.0
2008-08-28,1.6204999685287476,56382.0,13.0
2008-08-29,1.6306999921798706,55680.0,13.0
2008-09-01,1.6380000114440918,55162.0,13.0
2008-09-02,1.6523000001907349,54404.0,13.0
2008-09-03,1.6686999797821045,53527.0,13.0
2008-09-04,1.6928000450134277,51409.0,13.0
2008-09-05,1.7288999557495117,51940.0,13.0
2008-09-08,1.73580002784729,50718.0,13.0
2008-09-09,1.7519999742507935,48435.0,13.0
2008-09-10,1.777899980545044,49633.0,13.0
2008-09-11,1.812999963760376,51270.0,13.75
2008-09-12,1.777500033378601,52393.0,13.75
2008-09-15,1.7989000082015991,48416.0,13.75
2008-09-16,1.8242000341415405,49229.0,13.75
2008-09-17,1.8782999515533447,45909.0,13.75
2008-09-18,1.909500002861023,48423.0,13.75
2008-09-19,1.815999984741211,53055.0,13.75
2008-09-22,1.7929999828338623,51541.0,13.75
2008-09-23,1.8083000183105469,49593.0,13.75
2008-09-24,1.8382999897003174,49843.0,13.75
2008-09-25,1.8287999629974365,51828.0,13.75
2008-09-26,1.847599983215332,50783.0,13.75
2008-09-29,1.909500002861023,46028.0,13.75
2008-09-30,1.9220000505447388,49541.0,13.75
2008-10-01,1.9270999431610107,49799.0,13.75
2008-10-02,1.9900000095367432,46145.0,13.75
2008-10-03,2.0220000743865967,44517.0,13.75
2008-10-06,2.1194000244140625,42101.0,13.75
2008-10-07,2.178800106048584,40140.0,13.75
2008-10-08,2.4000000953674316,38594.0,13.75
2008-10-09,2.1484999656677246,37080.0,13.75
2008-10-10,2.248500108718872,35610.0,13.75
2008-10-13,2.126199960708618,40829.0,13.75
2008-10-14,2.0260000228881836,41569.0,13.75
2008-10-15,2.115299940109253,36833.0,13.75
2008-10-16,2.183500051498413,36442.0,13.75
2008-10-17,2.06850004196167,36399.0,13.75
2008-10-20,2.1038999557495117,39441.0,13.75
2008-10-21,2.1654999256134033,39043.0,13.75
2008-10-22,2.368000030517578,35070.0,13.75
2008-10-23,2.2725000381469727,33818.0,13.75
2008-10-24,2.2767999172210693,31482.0,13.75
2008-10-27,2.2295000553131104,29435.0,13.75
2008-10-28,2.1603000164031982,33387.0,13.75
2008-10-29,2.1084001064300537,34845.0,13.75
2008-10-30,2.067500114440918,37449.0,13.75
2008-10-31,2.0969998836517334,37257.0,13.75
2008-11-03,2.1194000244140625,38249.0,13.75
2008-11-04,2.0917999744415283,40255.0,13.75
2008-11-05,2.111299991607666,37786.0,13.75
2008-11-06,2.1357998847961426,36362.0,13.75
2008-11-07,2.1454999446868896,36665.0,13.75
2008-11-10,2.122499942779541,36776.0,13.75
2008-11-11,2.1740000247955322,37262.0,13.75
2008-11-12,2.2304999828338623,34374.0,13.75
2008-11-13,2.2825000286102295,35993.0,13.75
2008-11-14,2.2265000343322754,35789.0,13.75
2008-11-17,2.252500057220459,35717.0,13.75
2008-11-18,2.248500108718872,34095.0,13.75
2008-11-19,2.3389999866485596,33405.0,13.75
2008-11-20,2.3475000858306885,,13.75
2008-11-21,2.4049999713897705,31251.0,13.75
2008-11-24,2.274600028991699,34189.0,13.75
2008-11-25,2.253499984741211,34813.0,13.75
2008-11-26,2.257999897003174,36470.0,13.75
2008-11-27,2.198499917984009,36213.0,13.75
2008-11-28,2.256700038909912,36596.0,13.75
2008-12-01,2.3450000286102295,34741.0,13.75
2008-12-02,2.328000068664551,35001.0,13.75
2008-12-03,2.3454999923706055,35297.0,13.75
2008-12-04,2.430799961090088,35128.0,13.75
2008-12-05,2.565999984741211,35347.0,13.75
2008-12-08,2.510999917984009,38285.0,13.75
2008-12-09,2.434499979019165,37968.0,13.75
2008-12-10,2.381999969482422,39004.0,13.75
2008-12-11,2.239500045776367,38519.0,13.75
2008-12-12,2.3494999408721924,39374.0,13.75
2008-12-15,2.311500072479248,38320.0,13.75
2008-12-16,2.316999912261963,39993.0,13.75
2008-12-17,2.319999933242798,39947.0,13.75
2008-12-18,2.3459999561309814,39536.0,13.75
2008-12-19,2.370500087738037,39131.0,13.75
2008-12-22,2.358299970626831,37619.0,13.75
2008-12-23,2.3261001110076904,36471.0,13.75
2008-12-24,2.3261001110076904,,13.75
2008-12-25,2.3261001110076904,,13.75
2008-12-26,2.3261001110076904,36864.0,13.75
2008-12-29,2.349299907684326,37060.0,13.75
2008-12-30,2.3239998817443848,37550.0,13.75
2008-12-31,2.3239998817443848,,13.75
2009-01-01,2.3239998817443848,,13.75
2009-01-02,2.312999963760376,40244.0,13.75
2009-01-05,2.2165000438690186,41519.0,13.75
2009-01-06,2.1389999389648438,42312.0,13.75
2009-01-07,2.172499895095825,40820.0,13.75
2009-01-08,2.214600086212158,41991.0,13.75
2009-01-09,2.2430999279022217,41583.0,13.75
2009-01-12,2.2720000743865967,39403.0,13.75
2009-01-13,2.248300075531006,39544.0,13.75
2009-01-14,2.3050999641418457,37982.0,13.75
2009-01-15,2.3225998878479004,39151.0,13.75
2009-01-16,2.2899999618530273,39342.0,13.75
2009-01-19,2.2825000286102295,38828.0,13.75
2009-01-20,2.3125,37272.0,13.75
2009-01-21,2.303800106048584,38543.0,13.75
2009-01-22,2.300299882888794,37894.0,12.75
2009-01-23,2.3001999855041504,38132.0,12.75
2009-01-26,2.2637999057769775,38509.0,12.75
2009-01-27,2.2669999599456787,38699.0,12.75
2009-01-28,2.236999988555908,40227.0,12.75
2009-01-29,2.240000009536743,39638.0,12.75
2009-01-30,2.263000011444092,39301.0,12.75
2009-02-02,2.3399999141693115,38666.0,12.75
2009-02-03,2.306999921798706,39747.0,12.75
2009-02-04,2.286900043487549,40129.0,12.75
2009-02-05,2.2899999618530273,41109.0,12.75
2009-02-06,2.2592999935150146,42756.0,12.75
2009-02-09,2.2385001182556152,42100.0,12.75
2009-02-10,2.2634999752044678,41207.0,12.75
2009-02-11,2.2597999572753906,40846.0,12.75
2009-02-12,2.2860000133514404,40501.0,12.75
2009-02-13,2.25600004196167,41674.0,12.75
